Wins,PPG,OPPG,P6,3PT,TO,AST,ConfChamp,Seed,RPG,STL,NumApp,Home
-8,-6.25,2.1799999999999997,0,1.5099999999999998,-0.3500000000000014,-1.1500000000000004,0,5,-0.44000000000000483,-0.4400000000000004,-27,0
5,16.180000000000007,6.170000000000002,-1,0.21999999999999975,-1.3399999999999999,1.9799999999999986,0,-8,0.28000000000000114,-0.009999999999999787,17,0
2,-7.010000000000005,-2.1200000000000045,-1,-2.91,0.5199999999999996,-4.059999999999999,1,8,-5.349999999999998,2.3899999999999997,-8,0
7,0.28000000000000114,0.9699999999999989,0,-0.6900000000000004,-0.34999999999999964,3.9700000000000006,0,-8,-2.259999999999998,1.9499999999999993,12,0
-1,-4.609999999999999,-1.2000000000000028,0,-1.0600000000000005,0.8800000000000008,-3.26,-1,5,2.41,-1.2400000000000002,-19,0
3,5.289999999999992,3.5799999999999983,0,-1.6500000000000012,1.6500000000000004,4.9300000000000015,0,-8,1.5799999999999983,1.38,7,0
3,4.3799999999999955,3.6700000000000017,0,1.92,-0.2400000000000002,-0.4800000000000004,0,1,-1.3300000000000018,1.58,-16,0
12,-5.189999999999998,-17.909999999999997,-1,-0.3000000000000007,-0.120000000000001,-1.7399999999999984,0,-7,2.5,1.7000000000000002,-12,0
-4,-3.200000000000003,3.0799999999999983,0,0.7699999999999996,-2.4499999999999993,-3.1499999999999986,-1,5,-8.449999999999996,4.21,-12,0
1,0.519999999999996,1.769999999999996,0,0.7799999999999994,1.0,-1.4100000000000001,0,-3,-4.539999999999999,1.42,-5,0
5,12.519999999999996,7.109999999999999,-1,3.160000000000001,3.58,-2.290000000000001,1,8,7.829999999999998,0.4500000000000002,-14,0
8,11.820000000000007,5.350000000000001,0,3.210000000000001,3.59,3.6900000000000013,1,-7,9.550000000000004,0.6999999999999993,-4,0
-6,-7.159999999999997,-3.3400000000000034,0,-2.38,1.25,-4.119999999999999,-1,8,3.7800000000000047,-2.38,-3,0
2,0.4399999999999977,1.0,0,0.7400000000000002,2.879999999999999,1.4399999999999995,0,-3,-3.780000000000001,1.2200000000000006,-16,0
3,0.7399999999999949,5.909999999999997,0,-0.9400000000000004,0.1999999999999993,-2.1999999999999993,1,1,-0.1700000000000017,-2.5599999999999996,19,0
0,-5.069999999999993,-2.539999999999999,1,-2.8400000000000007,-0.6799999999999997,1.2799999999999994,0,-8,1.0500000000000043,-1.71,27,0
